Identifiant;Nom Etablissement;Numéro Siret;Adresse;Code Postal;Commune;Departement;Region;coordonnées_x;coordonnées_y;Code APE;Libellé APE;Code Eprtr;Libelle Eprtr;coordonnees
164.00018;RLD1 Site de Vichy;97150357800058;ZA de la Tour Chemin du Pré Long;03200;ABREST;ALLIER;AUVERGNE;685900;2122351;9601A;Blanchisserie-teinturerie de gros;9.(a);Usines destinées au prétraitement (opérations de lavage -  de blanchiment -  de mercerisation) ou à la teinture de fibres ou de textiles d'une capacité de traitement de 10 tonnes par jour;46.0958971261, 3.44745770796
062.00338;DEMANET DANIEL;31230666500034;RUE ARDANT DU PICQ;54260;LONGUYON;MEURTHE-ET-MOSELLE;LORRAINE;838320;2497908;3831Z;Démantèlement d'épaves;;;49.433770483, 5.61993244344
064.01104;SCA CAVE DES VIGNERONS;78322483500018;;84160;CUCURON;VAUCLUSE;PROVENCE-ALPES-COTE-D'AZUR;849999;1868412;1102B;Vinification;;;43.7730187543, 5.43863460543
56191018;EARL SAINT NICOLAS;41449287600019;SAINT NICOLAS;56140;REMINIAC;MORBIHAN;BRETAGNE;258020;2327812;0147Z;Élevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;47.8601051488, -2.2360862124
062.00679;CSMSE - Compagnie des Salins du Midi et des Salines de l'Est;41243174400199;17 -  rue Gabriel Péri;54110;VARANGEVILLE;MEURTHE-ET-MOSELLE;LORRAINE;892778;2411750;0893Z;Production de sel;;;48.6377949883, 6.3091144316
052.01643;Gascogne Bois;50171941300038;Route de Naboude;40170;LEVIGNACQ;LANDES;AQUITAINE;318511.23;1895190.16;1610A;Sciage et rabotage du bois -  hors imprégnation;6.(c);Installations industrielles destinées à la conservation du bois et des produits dérivés du bois au moyen de substances chimiques d'une capacité de production de 50 m3 par jour;44.0015986402, -1.17055929918
090.00056;SNOI-Parc 2 de Châlons;57208621300871;Les Haves du Midi;51460;L'EPINE;MARNE;CHAMPAGNE-ARDENNES;754441.98;2448173.23;4950Z;Transports par conduites;;;49.0130218388, 4.44663579007
054.01282;Manitowoc crane group France;63204583700044;14 Avenue de Noblet;71800;LA CLAYETTE;SAONE-ET-LOIRE;BOURGOGNE;751596;2145624;2822Z;Fabrication de matériel de levage et de manutention;;;46.2936763828, 4.30433600928
75600121;CORBEL André Daniel;40891304400017;Croas An Delen;29270;MOTREFF;FINISTERE;BRETAGNE;162411;2372147;0147Z;Élevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;48.2007202723, -3.55459425813
10854877;GAEC DU MOULIN;31356608500012;La Rochette;85670;LA CHAPELLE-PALLUAU;VENDEE;PAYS-DE-LA-LOIRE;297774;2205786;0147Z;Élevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.7834709221, -1.62336857098
055.16525;PLATE FORME DE STOCKAGE DE DECHETS VERTS de DAMGAN;20002702700016;Zone d'Activités de La Lande;56750;DAMGAN;MORBIHAN;BRETAGNE;229552;2291667;3811Z;Collecte des déchets non dangereux;;;47.5201509433, -2.58553861089
055.03709;STATION D'EPURATION DE BRIEC;21290020300069;Lannenever;29510;EDERN;FINISTERE;BRETAGNE;130187;2363861;8411Z;Administration publique générale;5.(g);Installations autonomes de traitement des eaux industrielles usées provenant d'une ou de plusieurs des activités énumérées dans la présente annexe d'une capacité de 10 000 m3 par jour;48.1039602945, -3.97766784877
070.01214;Centrale thermique du Mont de Terre - Resonor;32889832500043;Rue du Pont de Tournai;59000;LILLE;NORD;NORD-PAS-DE-CALAIS;652114;2626966;3530Z;Production et distribution de vapeur et d'air conditionné;1.(c);Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW;50.6347719994, 3.07150994404
070.01239;CASTEL FRERES;48228369400065;2 -  rue de la Croix-Pèlerine  BP 50160;62503;SAINT-OMER;PAS-DE-CALAIS;NORD-PAS-DE-CALAIS;592239;2640654;4634Z;Commerce de gros (commerce interentreprises) de boissons;;;50.7596733189, 2.22674052674
