nom,codeCommune,nomCommune,cp,designationAPE,designationEPRTR
BASF France SAS Division Coatings,60157,Clermont,60676,"Fabrication de peintures, vernis, encres et mastics",4.(a).(viii),"matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)"
ADDIVANT France,60130,Catenoy,60840,Fabrication d'autres produits chimiques n.c.a.,4.(a).(iii),hydrocarbures sulfurés
TEREOS,60149,Chevrières,60617,Fabrication de sucre,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
Pastacorp Lustucru,60150,Chiry-Ourscamps,60138,Fabrication de pâtes alimentaires,,
SOCIETE LAITIERE DE CLERMONT,60157,Clermont,60600,Fabrication de lait liquide et de produits frais,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
XPO TANK CLEANING Nord agence de Compiègne,60159,Compiègne,60200,Autres activités de nettoyage n.c.a.,,
REGEAL,60159,Compiègne,60204,Métallurgie de l'aluminium,2.(e).(i),"destinées à la production de métaux bruts non ferreux à partir de minerais, de concentrés ou de matières premières secondaires par procédés métallurgiques, chimiques ou électrolytiques"
COLGATE PALMOLIVE INDUSTRIEL,60159,Compiègne,60202,Fabrication de parfums et de produits pour la toilette,4.(a).(xi),tensioactifs et agents de surface
sanofi winthrop industrie,60159,Compiègne,60205,Fabrication de préparations pharmaceutiques,,
DUO METAL,60166,Coudun,60150,Récupération de déchets triés,,
ERCUIS,60212,Ercuis,60530,Fabrication d'articles de joaillerie et bijouterie,,
LE PLOMB Français,60223,Estrées-Saint-Denis,60190,"Métallurgie du plomb, du zinc ou de l'étain",2.(e).(ii),"destinées à la fusion, y compris l'alliage, de métaux non ferreux et notamment de produits de récupération (affinage, moulage en fonderie, etc.) d'une capacité de fusion de 4 tonnes par jour pour le plomb et le cadmium ou de 20 tonnes par jour pour tous les autres métaux"
SAVERGLASS,60233,Feuquières,60960,Fabrication de verre creux,3.(e),"Installations destinées à la fabrication du verre, y compris de fibres de verre d'une capacité de fusion de 20 tonnes par jour"
Station de stockage souterrain de GOURNAY-sur-ARONDE,60281,Gournay-sur-Aronde,60190,Entreposage et stockage non frigorifique,,
"Beauté, Recherche & industries",60350,Lassigny,60310,Fabrication de parfums et de produits pour la toilette,,
