nom,codeCommune,nomCommune,cp,designationAPE,designationEPRTR
CEREXAGRI - Usine de Marseille- Le Canet,13055,Marseille,13014,Fabrication de pesticides et d'autres produits agrochimiques,4.(d),Installations chimiques destinées à la fabrication industrielle de produits phytosanitaires et de biocides
"ARKEMA FRANCE, Usine de Marseille",13055,Marseille,13374,Fabrication d'autres produits chimiques organiques de base,4.(a).(iv),"hydrocarbures azotés, notamment amines, amides, composés nitreux, nitrés ou nitratés, nitriles, cyanates, isocyanates"
GDE Marseille,13055,Marseille,13014,Démantèlement d'épaves,,
MAJ Elis Provence,13055,Marseille,13361,Location et location-bail d'autres biens personnels et domestiques,,
ARDAGH METAL BEVERAGE - Ets La Ciotat,13028,La Ciotat,13705,Fabrication d'emballages métalliques légers,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
CARLO ERBA REAGENTS,13073,Peypin,13124,Fabrication d'autres produits chimiques n.c.a.,,
ARKEMA FRANCE site de St. AUBAN,04049,Château-Arnoux-Saint-Auban,04600,Fabrication d'autres produits chimiques organiques de base,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
SOUFFLET ALIMENTAIRE CAMARGUE,13004,Arles,13200,Autres activités du travail des grains,,
GRTgaz - Station de Compression St Martin de Crau,13097,Saint-Martin-de-Crau,13310,Transports par conduites,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
Chaux de Provence SACAM,13026,Châteauneuf-les-Martigues,13165,Fabrication de chaux et plâtre,3.(c).(iii),de clinker (ciment) ou de chaux dans d'autres types de fours d'une capacité de production de 50 tonnes par jour
SIRAP France,13066,Noves,13550,Fabrication d'emballages en matières plastiques,,
EURENCO PARC DE BAUSSENQ,13097,Saint-Martin-de-Crau,13310,Fabrication de produits explosifs,,
IMERYS PCC FRANCE,13004,Arles,13200,Fabrication d'autres produits chimiques inorganiques de base n.c.a.,,
SOTRECO,13027,Châteaurenard,13160,Traitement et élimination des déchets non dangereux,5.(c),Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
TEC INDUSTRIES,13100,Saint-Rémy-de-Provence,13210,Fabrication d'autres produits chimiques n.c.a.,4.(a).(xi),tensioactifs et agents de surface
TRANSFO SERVICES,13004,Arles,13200,Réparation d'équipements électriques,,
Kem One Lavera,13056,Martigues,13117,Fabrication d'autres produits chimiques inorganiques de base n.c.a.,4.(a).(vi),hydrocarbures halogénés
NAPHTACHIMIE,13056,Martigues,13117,Fabrication d'autres produits chimiques organiques de base,4.(a).(i),"hydrocarbures simples (linéaires ou cycliques, saturés ou insaturés, aliphatiques ou aromatiques)"
Centre Emplisseur BUTAGAZ,13081,Rognac,13655,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes,,
Dépôt du Port de la Pointe,13014,Berre-l'Étang,13130,Raffinage du pétrole,,
KEM ONE Fos sur Mer,13039,Fos-sur-Mer,13270,Fabrication d'autres produits chimiques organiques de base,4.(b).(i),"gaz, tels que ammoniac, chlore ou chlorure d'hydrogène, fluor ou fluorure d'hydrogène, oxydes de carbone, composés sulfuriques, oxydes d'azote, hydrogène, dioxyde de soufre, dichlorure de carbonyle"
LYONDELL CHIMIE France SAS,13039,Fos-sur-Mer,13775,Fabrication d'autres produits chimiques organiques de base,4.(a).(ii),"hydrocarbures oxygénés, notamment les alcools, aldéhydes, cétones, acides carboxyliques, esters, acétates, éthers, peroxydes, résines époxydes"
ROCKSON ROTO SUD IMPRESSION,13081,Rognac,13340,Autre imprimerie (labeur),9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
RTDH,13039,Fos-sur-Mer,13270,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
UCB - USINE CHIMIQUE DE BERRE,13014,Berre-l'Étang,13130,Fabrication d'autres produits chimiques organiques de base,4.(a).(viii),"matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)"
SN2A,13014,Berre-l'Étang,13130,Fabrication d'autres produits chimiques inorganiques de base n.c.a.,,
RAFFINERIE DE BERRE,13014,Berre-l'Étang,13130,Raffinage du pétrole,,
SOLAMAT-MEREX ROGNAC,13081,Rognac,13655,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
Asco Industries Usine de FOS,13039,Fos-sur-Mer,13771,Sidérurgie,2.(b),"Installations pour la production de fonte ou d'acier (de première ou de seconde fusion), notamment en coulée continue d'une capacité de 2,5 tonnes par heure"
COGEX SUD,13039,Fos-sur-Mer,13270,Entreposage et stockage non frigorifique,,
DEPOTS PETROLIERS DE FOS SA,13039,Fos-sur-Mer,13270,Entreposage et stockage non frigorifique,,
Raffinerie ESSO,13039,Fos-sur-Mer,13771,Raffinage du pétrole,1.(a),Raffineries de pétrole et de gaz
ALFI LI Audience,13039,Fos-sur-Mer,13778,Fabrication de gaz industriels,,
PHOENIX SERVICES Centre de Fos sur mer,13039,Fos-sur-Mer,13774,Traitement et élimination des déchets non dangereux,5.(c),Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
HARSCO METALS & MINERALS FRANCE,13039,Fos-sur-Mer,13771,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
KERNEOS (FOS SUR MER),13039,Fos-sur-Mer,13771,Fabrication de ciment,3.(c).(iii),de clinker (ciment) ou de chaux dans d'autres types de fours d'une capacité de production de 50 tonnes par jour
Ste du Pipeline Sud Européen,13039,Fos-sur-Mer,13771,Transports par conduites,,
ArcelorMittal FOS,13039,Fos-sur-Mer,13776,Sidérurgie,2.(b),"Installations pour la production de fonte ou d'acier (de première ou de seconde fusion), notamment en coulée continue d'une capacité de 2,5 tonnes par heure"
GIE Terminal de la CRAU,13039,Fos-sur-Mer,13270,Entreposage et stockage non frigorifique,,
Plateforme de La Mède,13026,Châteauneuf-les-Martigues,13165,Raffinage du pétrole,1.(a),Raffineries de pétrole et de gaz
ALKION TEMRINAL MARSEILLE,13056,Martigues,13500,Entreposage et stockage non frigorifique,,
Terminal méthanier du Tonkin,13039,Fos-sur-Mer,13270,Production de combustibles gazeux,1.(b),Installations de gazéification et de liquéfaction
SEMAG,13041,Gardanne,13120,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
ABC INDUSTRIE,13074,Peyrolles-en-Provence,13860,Préparation industrielle de produits à base de viande,,
S.P.T.F.,84027,Caderousse,84860,Fabrication de moules et modèles,,
CROWN EMBALLAGE FRANCE,84031,Carpentras,84206,Fabrication d'emballages métalliques légers,,
SAS SCHOEPFER,84007,Avignon,84035,"Commerce de gros (commerce interentreprises) de produits laitiers, ufs, huiles et matières grasses comestibles",,
GMDF SAS,84049,Gigondas,84190,Commerce de gros (commerce interentreprises) de boissons,,
CONSERVES France,13108,Tarascon,13150,Autre transformation et conservation de légumes,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
MIDI CONCASSAGE,13047,Istres,13118,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,
ONYX MEDITERRANEE La Seyne-sur-Mer,83126,La Seyne-sur-Mer,83500,Collecte des déchets non dangereux,,
RABILLON,84087,Orange,84104,Fabrication de portes et fenêtres en métal,,
Suez RV Méditerranée - ISDND Entraigues,84043,Entraigues-sur-la-Sorgue,84320,Collecte des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
EPC-FRANCE,13097,Saint-Martin-de-Crau,13310,Fabrication de produits explosifs,4.(f),Installations destinées à la fabrication industrielle d'explosifs et de produits pyrotechniques
Orangina Suntory France production,84036,Châteauneuf-de-Gadagne,84470,Production de boissons rafraîchissantes,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
LAFARGE CIMENTS - Usine de La Malle,13106,Septèmes-les-Vallons,13240,Fabrication de ciment,3.(c).(i),de clinker (ciment) dans des fours rotatifs d'une capacité de production de 500 tonnes par jour
TECHNIC AVIATION,04112,Manosque,04100,Réparation et maintenance d'aéronefs et d'engins spatiaux,,
JEAN GAZIGNAIRE S.A.S,06090,Pégomas,06580,Fabrication d'huiles essentielles,,
THALES UNDERWATER SYSTEMS,06152,Valbonne,06903,Fabrication d'équipements d'aide à la navigation,,
ECO RECYCLING SYSTEMS,13014,Berre-l'Étang,13130,Collecte des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
Thales Alenia Space CANNES,06029,Cannes,06156,Construction aéronautique et spatiale,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
PURFER,83090,Ollioules,83190,Récupération de déchets triés,,
SIBELCO France,84017,Bédoin,84410,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
PIOMBO RECYCLAGE,13077,Port-de-Bouc,13110,Récupération de déchets triés,,
Petroineos Manufacturing France SAS,13056,Martigues,13117,Raffinage du pétrole,1.(a),Raffineries de pétrole et de gaz
STEP USINE DES BOUES DE MARSEILLE,13055,Marseille,13009,Collecte et traitement des eaux usées,5.(f),Installations de traitement des eaux urbaines résiduaires d'une capacité de 100 000 équivalents habitants
Marseille Saint Mauront,13055,Marseille,13003,Télécommunications filaires,,
OFFICE DEPOT,13097,Saint-Martin-de-Crau,13310,Commerce de gros (commerce interentreprises) d'autres biens domestiques,,
KERAGLASS,77016,Bagneaux-sur-Loing,77167,Fabrication de verre plat,3.(e),"Installations destinées à la fabrication du verre, y compris de fibres de verre d'une capacité de fusion de 20 tonnes par jour"
Corning SAS,77333,Nemours,77792,"Fabrication et façonnage d'autres articles en verre, y compris verre technique",3.(e),"Installations destinées à la fabrication du verre, y compris de fibres de verre d'une capacité de fusion de 20 tonnes par jour"
Euro Disney Associés S.C.A.,77111,Chessy,77777,Activités des parcs d'attractions et parcs à thèmes,,
GEREP,77294,Mitry-Mory,77290,Collecte des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
Compagnie Commerciale de Manutention Pétrolière,77294,Mitry-Mory,77295,Entreposage et stockage non frigorifique,,
AMCOR FLEXIBLES SPS,77131,Coulommiers,77120,Fabrication d'emballages en matières plastiques,,
chaufferie de la Plaine du Lys,77152,Dammarie-les-Lys,77190,Production et distribution de vapeur et d'air conditionné,,
Stockage Souterrain de Germigny-Sous-Coulombs,77204,Germigny-sous-Coulombs,77840,Entreposage et stockage non frigorifique,,
Borealis Grandpuits,77317,Mormant,77720,Fabrication de produits azotés et d'engrais,4.(b).(i),"gaz, tels que ammoniac, chlore ou chlorure d'hydrogène, fluor ou fluorure d'hydrogène, oxydes de carbone, composés sulfuriques, oxydes d'azote, hydrogène, dioxyde de soufre, dichlorure de carbonyle"
Raffinerie de GRANDPUITS,77317,Mormant,77720,Raffinage du pétrole,1.(a),Raffineries de pétrole et de gaz
H2D Didier Mary,77280,Mary-sur-Marne,77440,Autre imprimerie (labeur),9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
BASF Health and Care Products France,77284,Meaux,77109,Fabrication d'autres produits chimiques organiques de base,4.(a).(xi),tensioactifs et agents de surface
AGRANA FRUIT FRANCE,77294,Mitry-Mory,77290,Transformation et conservation de fruits,,
AIR LIQUIDE FRANCE INDUSTRIE Etablissement de Mitry-Mory,77294,Mitry-Mory,77290,Fabrication de gaz industriels,4.(b).(i),"gaz, tels que ammoniac, chlore ou chlorure d'hydrogène, fluor ou fluorure d'hydrogène, oxydes de carbone, composés sulfuriques, oxydes d'azote, hydrogène, dioxyde de soufre, dichlorure de carbonyle"
SAM MONTEREAU,77305,Montereau-Fault-Yonne,77130,Sidérurgie,2.(b),"Installations pour la production de fonte ou d'acier (de première ou de seconde fusion), notamment en coulée continue d'une capacité de 2,5 tonnes par heure"
SOMOVAL,77309,Monthyon,77122,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
LESAFFRE FRERES,77327,Nangis,77370,Fabrication de sucre,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
OFFREDY SA,77350,Ozoir-la-Ferrière,77330,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
WILLIAM SAURIN PRODUCTION,77438,Saint-Thibault-des-Vignes,77400,Fabrication de plats préparés,,
UVE LAGNY,77438,Saint-Thibault-des-Vignes,77400,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
OUVRE FILS Sucrerie et Distillerie,77458,Souppes-sur-Loing,77460,Fabrication de sucre,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
RECTICEL - PROSEAT,77475,Trilport,77470,Fabrication de pièces techniques à base de matières plastiques,4.(a).(viii),"matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)"
Stockage Souterrain de Beynes,78062,Beynes,78650,Entreposage et stockage non frigorifique,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
ITON-SEINE,78089,Bonnières-sur-Seine,78270,Sidérurgie,2.(b),"Installations pour la production de fonte ou d'acier (de première ou de seconde fusion), notamment en coulée continue d'une capacité de 2,5 tonnes par heure"
AZALYS,78123,Carrières-sous-Poissy,78955,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
SUEZ R&V IDF - CRISTAL,78124,Carrières-sur-Seine,78420,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
ELECTRODEPOSITION,78124,Carrières-sur-Seine,78420,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
INITIAL,78165,Les Clayes-sous-Bois,78340,Location et location-bail d'autres biens personnels et domestiques,,
SAINT-GOBAIN-ABRASIFS,78172,Conflans-Sainte-Honorine,78702,Fabrication de produits abrasifs,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
Usine de Flins,78029,Aubergenville,78415,Construction de véhicules automobiles,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
Ciments Calcia usine de Gargenville,78267,Gargenville,78440,Fabrication de ciment,3.(c).(i),de clinker (ciment) dans des fours rotatifs d'une capacité de production de 500 tonnes par jour
Centre de Stockage de Déchets Ultimes de Guitrancourt,78314,Issou,78440,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
SARP Industries,78335,Limay,78520,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
Henri Selmer Paris,78362,Mantes-la-Ville,78711,Fabrication d'instruments de musique,,
PEUGEOT CITROËN POISSY SNC,78498,Poissy,78300,Construction de véhicules automobiles,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
Centre de Production Thermique EDF de PORCHEVILLE,78501,Porcheville,78440,Production d'électricité,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
ALPA,78501,Porcheville,78440,Sidérurgie,2.(b),"Installations pour la production de fonte ou d'acier (de première ou de seconde fusion), notamment en coulée continue d'une capacité de 2,5 tonnes par heure"
FAPROGI,78517,Rambouillet,78120,Fabrication de parfums et de produits pour la toilette,4.(a).(xi),tensioactifs et agents de surface
Stockage Souterrain de Saint-Illiers-La-Ville,78558,Saint-Illiers-la-Ville,78980,Entreposage et stockage non frigorifique,,
CVD Thiverval-Grignon,78615,Thiverval-Grignon,78850,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
VERSEO,78646,Versailles,78000,Production et distribution de vapeur et d'air conditionné,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
sanofi recherche et développement,91161,Chilly-Mazarin,91385,Recherche-développement en autres sciences physiques et naturelles,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
IMPRIMERIE HELIO CORBEIL,91174,Corbeil-Essonnes,91814,Autre imprimerie (labeur),9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
X-FAB France,91174,Corbeil-Essonnes,91105,Fabrication de composants électroniques,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
Evry Corbeil,91228,Évry,91003,Construction aéronautique et spatiale,2.(c).(ii),par forgeage à l'aide de marteaux avec une énergie de frappe de 50 kJ par marteau lorsque la puissance calorifique mise en oeuvre est supérieure à 20 MW
CIM Dépôt pétrolier de Grigny,91286,Grigny,91350,Entreposage et stockage non frigorifique,,
ENORIS (LB),91377,Massy,91300,Production et distribution de vapeur et d'air conditionné,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
AEROPORTS DE PARIS - ORLY ENERGIE ET LOGISTIQUE,91479,Paray-Vieille-Poste,91550,Services auxiliaires des transports aériens,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
SEMARIV- CITD,91648,Vert-le-Grand,91810,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
Centre de production de Vert le Grand,91648,Vert-le-Grand,91810,Extraction de pétrole brut,,
PMC ISOCHEM VERT-LE-PETIT,91649,Vert-le-Petit,91710,Fabrication d'autres produits chimiques organiques de base,4.(e),Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base
UVE Villejust,91666,Villejust,91140,Collecte des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
ENERLIS,91692,Les Ulis,91940,Production et distribution de vapeur et d'air conditionné,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
Centre de Valorisation Energétique d'Argenteuil,95018,Argenteuil,95100,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
DASSAULT AVIATION,95018,Argenteuil,95100,Construction aéronautique et spatiale,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
3M France,95051,Beauchamp,95250,Fabrication de produits abrasifs,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
PROTEC INDUSTRIE,95063,Bezons,95870,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
EDF CPE site de Champagne sur oise,95134,Champagne-sur-Oise,95660,Production d'électricité,,
PLACOPLATRE,95176,Cormeilles-en-Parisis,95240,Fabrication d'éléments en plâtre pour la construction,,
FLEX N GATE FRANCE,95370,Marines,95640,Fabrication d'autres équipements automobiles,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
CEFIVAL,95487,Persan,95340,"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier",,
T-T ELECTRIC,95487,Persan,95340,"Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules",,
Air France Industries,95527,Roissy-en-France,95704,Réparation et maintenance d'aéronefs et d'engins spatiaux,,
AEROPORTS DE PARIS - CDG L Pôle Production d'Energie,95527,Roissy-en-France,95931,Transports aériens de passagers,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
AUROR'ENVIRONNEMENT,95127,Cergy,95073,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
CYEL,95572,Saint-Ouen-l'Aumône,95310,Production et distribution de vapeur et d'air conditionné,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
SOFINADE / LE DANTEC,95585,Sarcelles,95200,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
SAREN,95585,Sarcelles,95200,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
CPCU - CENTRALE DE BERCY,75056,Paris,75012,Production et distribution de vapeur et d'air conditionné,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
Chaufferie de VAUGIRARD,75056,Paris,75015,Production et distribution de vapeur et d'air conditionné,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
Chaufferie de GRENELLE,75056,Paris,75015,Production et distribution de vapeur et d'air conditionné,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
Turbine à combustion E.D.F GENNEVILLIERS,92036,Gennevilliers,92230,Production d'électricité,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
Sogepp,92036,Gennevilliers,92230,Entreposage et stockage non frigorifique,,
TOTAL Marketing France,92036,Gennevilliers,92230,Entreposage et stockage non frigorifique,,
ISOCHEM,92036,Gennevilliers,92230,Fabrication d'autres produits chimiques organiques de base,4.(e),Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base
Société des Pétroles Shell - Etablissement de Nanterre,92050,Nanterre,92000,Raffinage du pétrole,,
C.C.M.P Dépôt pétrolier de Nanterre,92050,Nanterre,92008,Entreposage et stockage non frigorifique,,
VLG CHEM,92078,Villeneuve-la-Garenne,92390,Fabrication de produits pharmaceutiques de base,4.(e),Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base
GALVANOPLAST Paris,92078,Villeneuve-la-Garenne,92390,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
TIRU,93070,Saint-Ouen,93584,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
CPCU chaufferies de ST-OUEN I et ST-OUEN II,93070,Saint-Ouen,93400,Production et distribution de vapeur et d'air conditionné,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
Plaine Commune Energie (NORD),93072,Stains,93240,Production et distribution de vapeur et d'air conditionné,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
CREALIS,94015,Bry-sur-Marne,94360,Activités de conditionnement,,
CRETEIL INCINERATION ENERGIE,94028,Créteil,94034,Traitement et élimination des déchets non dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
IVRY PARIS XIII,75056,Paris,75013,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
CPCU - CENTRALE D'IVRY,94041,Ivry-sur-Seine,94200,Production et distribution de vapeur et d'air conditionné,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
BIO SPRINGER,94046,Maisons-Alfort,94704,Fabrication d'autres produits alimentaires n.c.a.,,
GENERIS - Site de Rungis,94065,Rungis,94569,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
Centre de Production de Vitry-sur-Seine,94081,Vitry-sur-Seine,94400,Fabrication de produits pharmaceutiques de base,4.(e),Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base
EDF CPE site de Vitry Sur Seine,94081,Vitry-sur-Seine,94400,Production d'électricité,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
